// ブロントさん
//黄金の鉄	FF11\ブロントさん\黄金２.wav
//完全論破	FF11\ブロントさん\完全論破.wav
//今謝れば許す	FF11\ブロントさん\今謝れば.wav
//上出来だ	FF11\ブロントさん\上出来だ.wav
//寝てろォ	FF11\ブロントさん\寝てろォ.wav
//やれやれだぜ	FF11\ブロントさん\やれやれだぜ.wav
//めんどくせぇ	FF11\ブロントさん\めんどくせぇ.wav
//生半可なナイトには真似できないダークパワー	FF11\ブロントさん\生半可なナイトには真似できないダークパワー.wav
//ヴォルカニックバイパ	FF11\ブロントさん\ヴォルカニックバイパ.wav
//メガトンインストール	FF11\ブロントさん\メガトンインストール.wav
//メガトンパンチ	FF11\ブロントさん\メガトンパンチ.wav
//ダークパワー	FF11\ブロントさん\ダークパワー.wav

# すごい漢
流影陣	龍虎外伝\すごい漢\流影陣.wav
くまーよろしくだクマ	艦これ\球磨改\1.mp3
クマ？	艦これ\球磨改\2.mp3
呼んだクマ？	艦これ\球磨改\3.mp3
お手紙が届いてるクマ	艦これ\球磨改\8.mp3
ふっふっふー、強くなったクマ	艦これ\球磨改\9.mp3
ふふふー、良い感じだクマ	艦これ\球磨改\10.mp3
ゆとりの行動をするクマ	艦これ\球磨改\11.mp3
もう少しで死/ぬところだったクマ	艦これ\球磨改\12.mp3
球磨を選ぶとは良い選択クマ	艦これ\球磨改\14.mp3
ヴォー	艦これ\球磨改\19.mp3
ウ゛ォー	艦これ\球磨改\19.mp3
被弾クマ	艦これ\球磨改\20.mp3
意外に優秀な球磨ちゃんってよく言われるクマ	艦これ\球磨改\23.mp3
クマ♪	艦これ\球磨改\26.mp3
助かるクマ	艦これ\球磨改\27.mp3

### 川内型
#### 川内
何？夜戦？	艦これ\川内改\2.mp3
夜は良いよね、夜はさ	艦これ\川内改\3.mp3
まあそう焦んないでよ、夜は長いよ	艦これ\川内改\4.mp3
やったー待ちに待った夜戦だ	艦これ\川内改\18.mp3
やったなー	艦これ\川内改\20.mp3
早く夜戦	艦これ\川内改\26.mp3

#### 那珂
艦隊のアイドル、那珂ちゃんだよ	艦これ\那珂改\1.mp3
おはようございまーす	艦これ\那珂改\2.mp3
那珂ちゃんスマイル	艦これ\那珂改\3.mp3
お仕事終了	艦これ\那珂改\7.mp3
舞台裏は見ないでね	艦これ\那珂改\11.mp3
お仕事ですね	艦これ\那珂改\13.mp3
どっかーん	艦これ\那珂改\16.mp3
いつもありがとう	艦これ\那珂改\17.mp3
ゲームがつまらなくっても、那珂ちゃんのことは嫌いにならないでください	艦これ\那珂改\23.mp3

### 長良型
#### 五十鈴
五十鈴にご用	艦これ\五十鈴改二\2.mp3
五十鈴に御用	艦これ\五十鈴改二\2.mp3
五十鈴には丸見えよ	艦これ\五十鈴改二\16.mp3
追撃戦は五十鈴の十八番よ	艦これ\五十鈴改二\18.mp3
嘘！？	艦これ\五十鈴改二\19.mp3

#### 鬼怒
対空兵装って大事だよね	艦これ\鬼怒改\10.mp3
訓練あるのみ	艦これ\鬼怒改\26.mp3

#### 阿武隈
やるときはやるんだから	艦これ\阿武隈改\16.mp3
がら空きなんですけど	艦これ\阿武隈改\17.mp3
あたし的にはOKです	艦これ\阿武隈改\26.mp3
私的にはOKです	艦これ\阿武隈改\26.mp3
あたし的にはとってもOKです	艦これ\阿武隈改二\26.mp3

#### 大淀
計算通りです	艦これ\大淀改\26.mp3

## 【重巡洋艦】
### 妙高型
#### 妙高
ここは静かですね	艦これ\妙高改二\11_入渠1.mp3
もう降参してください	艦これ\妙高改二\17_戦闘3.mp3
どうしましょう	艦これ\妙高改二\26_補給.mp3

#### 足柄
うにゃ！？うにゃー	艦これ\足柄改\20_中破.mp3

#### 羽黒
撃ち方始めてください	艦これ\羽黒改\15.mp3
砲雷撃戦ってこれで良いのかしら	艦これ\羽黒改\16.mp3
全砲門開いてください	艦これ\羽黒改\17.mp3
これ以上やらせません	艦これ\羽黒改\18.mp3
このまますべての戦いが終わってしまえばいいのに	艦これ\羽黒改\23.mp3
ごめんなさい	艦これ\羽黒改\26.mp3
いただきます	艦これ\羽黒改\27.mp3

### 第六戦隊
#### 古鷹
やったね	艦これ\古鷹改\26.mp3

#### 加古
ぶっ飛ばす	艦これ\加古改二\15.mp3

#### 青葉
なになに？何の話ですか	艦これ\青葉改\2.mp3
気になるんですかー？いい情報ありますよ	艦これ\青葉改\4.mp3
よく見えますね	艦これ\青葉改\15.mp3
敵はまだこちらに気付いてないよ	艦これ\青葉改\16.mp3
しまった	艦これ\青葉改\19.mp3
恐縮です	艦これ\青葉改\26.mp3
青葉見ちゃいました	艦これ\青葉改\青葉見ちゃいました.wav

#### 衣笠
衣笠さんにお任せ	艦これ\衣笠改二\13.mp3
いいね	艦これ\衣笠改二\26.mp3
逃げても無駄よ	艦これ\衣笠改二\16.mp3

### 高雄型
#### 愛宕
ぱんかぱかぱかぱかぱかぱかぱーん	艦これ\愛宕改\26.mp3
ぱんぱかぱーん	艦これ\愛宕\26.mp3

#### 摩耶
何か用か	艦これ\摩耶改\3.mp3
ポンコツの修理が終わったぜ	艦これ\摩耶改\6.mp3
でーい	艦これ\摩耶改\15.mp3
ぶっころ/されてぇか	艦これ\摩耶改\17.mp3
げっ	艦これ\摩耶改\19.mp3
ゲッ	艦これ\摩耶改\19.mp3
何だよ	艦これ\摩耶改\20.mp3
やったな	艦これ\摩耶改\26.mp3
あぁ？	艦これ\摩耶改二\2.mp3
どぉーだ参ったか	艦これ\摩耶改二\15.mp3
どぉーだ	艦これ\摩耶改二\どぉーだ.wav
参ったか	艦これ\摩耶改二\参ったか.wav

#### Zara
何事も粘り強くよ	艦これ\Zaradue\26.mp3

#### Pola
やだやだ痛すぎる	艦これ\Pola改\20.mp3

## 【重雷装巡洋艦】
### 木曾
不安なのか？	艦これ\木曾改二\3.mp3
アリだな	艦これ\木曾改二\12.mp3
弱すぎる	艦これ\木曾改二\15.mp3
いいぞ	艦これ\木曾改二\16.mp3

### 大井
完全に作戦が悪いのよ	艦これ\大井改二\12_入渠2.mp3
海の藻屑となりなさいな	艦これ\大井改二\16_戦闘2.mp3
まあまあかな	艦これ\大井改二\26_補給.mp3

### 北上
単装砲って何気に侘び寂びよね	艦これ\北上改二\15.mp3
九三式食ってる場合じゃねーな	艦これ\北上改二\17-九三式食ってる場合じゃ.mp3
ギッタギタにしてあげましょうかね	艦これ\北上改二\18.mp3
やっちゃいましょ	艦これ\北上改二\26.mp3

## 【航空巡洋艦】
### 熊野
今頃ご出勤？のろまなのね	艦これ\熊野改\2_タッチ1.mp3
あまり下品な兵装はいやよ	艦これ\熊野改\10_感謝2.mp3
全身エステ、フルコースでお願いするわ	艦これ\熊野改\12_入渠2.mp3
承りましてよ	艦これ\熊野改\13_出撃1.mp3
一ひねりで黙らせてやりますわ	艦これ\熊野改\15_戦闘1.mp3
ひゃあー	艦これ\熊野改\16_戦闘2.mp3
とぉーう	艦これ\熊野改\17_戦闘3.mp3
夜戦、どこかのバ/カが好きでしたわね	艦これ\熊野改\18_戦闘4.mp3
服が汚れたじゃない	艦これ\熊野改\20_中破.mp3
よろしくてよ	艦これ\熊野改\26_補給.mp3
なんかもういっぱいですわ	艦これ\熊野改\27_感謝3.mp3

### 鈴谷
かわいい子来てるみたいよ	艦これ\鈴谷改\5_建造完了.mp3
修理終わってるじゃん	艦これ\鈴谷改\6_修理完了.mp3
やっぱ動くとお腹減るよね	艦これ\鈴谷改\11_入渠1.mp3
鈴谷にお任せ	艦これ\鈴谷改\14_出撃2.mp3
うりゃー	艦これ\鈴谷改\16_戦闘2.mp3
うわ、きんも	艦これ\鈴谷改\17_戦闘3.mp3
なんかヌメヌメする	艦これ\鈴谷改\18_戦闘4.mp3
ヌメヌメする	艦これ\鈴谷改\18_戦闘4.mp3
やるじゃん	艦これ\鈴谷改\26_補給.mp3
あざーす	艦これ\鈴谷改\あざーす.wav
どうする？なにする	艦これ\鈴谷改\3_タッチ2.mp3
なんかマジヌメヌメする	艦これ\鈴谷改二\18.mp3
いいじゃんいいじゃん	艦これ\鈴谷改二\26.mp3
補給は大切じゃん	艦これ\鈴谷改二\27.mp3

### 三隈
失礼な方たちね	艦これ\三隈改\20_中破.mp3
くまりんこ	艦これ\三隈改\10_感謝2.mp3

### 利根
我輩が利根である	艦これ\利根改二\1.mp3
うむ、参ろうか	艦これ\利根改二\2.mp3
演習か？実戦か	艦これ\利根改二\3.mp3
その艦もらった	艦これ\利根改二\15.mp3
この時のためにカタパルトは整備したのじゃ	艦これ\利根改二\16.mp3
我が索敵機から逃げられるとでも思ったか	艦これ\利根改二\18.mp3
やったぞ	艦これ\利根改二\26.mp3
うむ、ありがたいぞ	艦これ\利根改二\27.mp3
馬鹿な、カタパルトが不調だと	艦これ\利根\16.mp3

## 【潜水艦】
### 伊26
お風呂入ろうっと	艦これ\伊26改\11.mp3
きたきたきた	艦これ\伊26改\26.mp3
うんありがと	艦これ\伊26改\27.mp3

### 伊58
もういっぱいでち	艦これ\伊58改\11_入渠1.mp3
ゴーヤ、潜りまーす	艦これ\伊58改\13_出撃1.mp3
怖いのいっぱい見ーつけちゃった	艦これ\伊58改\15_戦闘1.mp3
魚雷さんお願いします	艦これ\伊58改\16_戦闘2.mp3
ゴーヤの魚雷さんはお利口さんなのでち	艦これ\伊58改\17_戦闘3.mp3
ごちそうさまでち	艦これ\伊58改\27_感謝3.mp3

### 伊401
なんですか	艦これ\伊401改\2.mp3
お風呂直行	艦これ\伊401改\お風呂直行.wav
どぼーん	艦これ\伊401改\どぼーん.wav
やっちゃうからね	艦これ\伊401改\16.mp3
晴嵐さん達は友達だもーん	艦これ\伊401改\17.mp3
潜っちゃうよ	艦これ\伊401改\26.mp3
大切大切	艦これ\伊401改\大切大切.wav

## 【軽空母】
### 千代田
索敵したら攻撃よね	艦これ\千代田甲\16.mp3
サーチアンドデストロイ	艦これ\千代田甲\18.mp3
いただきです	艦これ\千代田甲\26.mp3
満タンでよろしくね	艦これ\千代田甲\27.mp3
そろそろトドメを刺しちゃおっかな	艦これ\千代田航改二\18.mp3

### 隼鷹
やっべ	艦これ\隼鷹改\19.mp3
だから装甲薄いんだってマジで	艦これ\隼鷹改\20.mp3
いけるいける	艦これ\隼鷹改\26.mp3
ひゃっはぁー	艦これ\隼鷹改\ヒャッハー.wav

### 瑞鳳
アウトレンジ、決めます	艦これ\瑞鳳改\16_戦闘2.mp3
いいかもね	艦これ\瑞鳳改\26_補給.mp3

### 龍驤
ウチがいるからこれが主力艦隊やね	艦これ\龍驤改\14.mp3
こらあかん	艦これ\龍驤改\19.mp3
行ってみよう	艦これ\龍驤改\26.mp3

### 大鷹
新しい方がお見えです	艦これ\大鷹改二\5.mp3
これでいいのかしら	艦これ\大鷹改二\26.mp3

## 【正規空母】
### 赤城
作戦会議でしょうか	艦これ\赤城改\2.mp3
烈風？いえ、知らない子ですね	艦これ\赤城改\3.mp3
次の作戦に備えますね	艦これ\赤城改\11.mp3
流星？九七艦攻とは違うのですか	艦これ\赤城改\4.mp3
真上！？直上	艦これ\赤城改\19.mp3
上々ね	艦これ\赤城改\26.mp3

### 加賀
私の顔に何かついていて？	艦これ\加賀改\2.mp3
何か相談？良いけれど	艦これ\加賀改\3.mp3
ここは譲れません	艦これ\加賀改\13.mp3
五航戦の子なんかと一緒にしないで	艦これ\加賀改\15.mp3
皆優秀な子たちですから	艦これ\加賀改\18.mp3
頭にきました	艦これ\加賀改\19.mp3
頭に来ました	艦これ\加賀改\19.mp3
やりました	艦これ\加賀改\26.mp3
補給は大事	艦これ\加賀改\27.mp3
まあ、私も認めてはいます	艦これ\加賀改\28.mp3
さすがに気分が高揚します	艦これ\加賀改\10.mp3

### 飛龍
ん？敵空母が現れましたか？	艦これ\飛龍改\2.mp3
めっ、艦載機が落ちちゃいますから	艦これ\飛龍改\3.mp3
多聞丸に怒られますよ	艦これ\飛龍改\4.mp3
どうよ	艦これ\飛龍改\26.mp3
めっ	艦これ\飛龍改\めっ.wav

### 蒼龍
そうね、大物を狙っていきましょう	艦これ\蒼龍改二\17_戦闘3.mp3
やだやだやだ	艦これ\蒼龍改二\19_小破.mp3
飛行甲板の火、消えないね	艦これ\蒼龍改二\22_轟沈.mp3
うれしいな	艦これ\蒼龍改二\26_補給.mp3

### 翔鶴
私って怪我しやすいのかしら	艦これ\翔鶴改\12_入渠2.mp3
なんで私ばっかり	艦これ\翔鶴改\20_中破.mp3

### 瑞鶴
七面鳥ですって	艦これ\瑞鶴改\18_戦闘4.mp3
いい感じじゃない	艦これ\瑞鶴改\26_補給.mp3

## 【戦艦】
### 金剛
今日もいい天気ネ	艦これ\金剛改二\2.mp3
紅茶が飲みたいネ	艦これ\金剛改二\3.mp3
やっと本当の私になれた気がしマース	艦これ\金剛改二\10.mp3
ティータイムは大事にしないとネ	艦これ\金剛改二\11.mp3
バーニングラヴ	艦これ\金剛改二\16.mp3
全砲門ファイヤー	艦これ\金剛改二\17.mp3
サプライは大切ネ	艦これ\金剛改二\27.mp3

### 比叡
こんなのかすり傷程度なんだけど	艦これ\比叡改二\11_入渠1.mp3
ヒエー	艦これ\比叡改二\20_中破.mp3

### 榛名
榛名は大丈夫です	艦これ\榛名改二\2_タッチ1.mp3
勝手は榛名が許しません	艦これ\榛名改二\17_戦闘3.mp3
榛名感激です	艦これ\榛名改二\26_補給.mp3

### 霧島
本部より電文です	艦これ\霧島改二\8.mp3
備えあれば憂いなし、です	艦これ\霧島改二\11.mp3
艦隊の頭脳と言われるように頑張りますね	艦これ\霧島改二\23.mp3
十分かと	艦これ\霧島改二\27.mp3

### 武蔵
偉いぞ	艦これ\武蔵改\26.mp3

### Richelieu
ジュヴルメルシー	艦これ\Richelieu改\9.mp3
フー！	艦これ\Richelieu改\17.mp3
サージュソンス	艦これ\Richelieu改\26.mp3

### Warspite
アフリートハズリターンド	艦これ\Warspite改\7.mp3
エネミーシップイズインサイト	艦これ\Warspite改\15.mp3
ファイア！	艦これ\Warspite改\16.mp3
ファイアファイアファイア！	艦これ\Warspite改\17.mp3
オーマイガー	艦これ\Warspite改\20.mp3
ザットウィルビーグレイト	艦これ\Warspite改\26.mp3

## 【航空戦艦】
### 山城
扶桑姉様？	艦これ\山城改\2_タッチ1.mp3
不幸な船がまた戻ってきます	艦これ\山城改\6_修理完了.mp3
艦隊が帰ってきました	艦これ\山城改\7_艦隊帰投.mp3
姉様より先で良いのでしょうか	艦これ\山城改\9_感謝1.mp3
姉様も戦っているのかしら	艦これ\山城改\17_戦闘3.mp3
